id,bhk,property_type,sharing_type,gender_preference,location,area,,furnished,ac,fridge,washing_machine,geyser,wifi,water_24h,parking,cooking_allowed,light_bill_included,full_rent
2256,1BHK,Tenament,Sharing,Boys,Sector 3,Gandhinagar,,Semi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,7000
2257,3BHK,Flat,Full,Any,Sargasan,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,37000
2258,2BHK,Flat,Sharing,Any,Infocity,Gandhinagar,,Fully,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,24000
2259,1BHK,Room,Full,Family,Sector 13,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,No,Yes,Yes,7000
2260,3BHK,Tenament,Sharing,Family,Infocity,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,No,45000
2261,1BHK,House,Sharing,Boys,Kudasan,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,15000
2262,1BHK,Room,Full,Girls,Vavol,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,11000
2263,3BHK,Tenament,Sharing,Family,Sargasan,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,39000
2264,1BHK,Tenament,Full,Any,Raysan,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,No,Yes,No,15000
2265,2BHK,House,Sharing,Girls,Sector 2,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,Yes,Yes,Yes,24000
2266,2BHK,Flat,Sharing,Girls,Vavol,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,13000
2267,2BHK,Flat,Full,Boys,Raysan,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,No,Yes,Yes,19000
2268,2BHK,Tenament,Full,Any,Infocity,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,23000
2269,2BHK,House,Sharing,Family,Sector 6,Gandhinagar,,Basic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,20000
2270,2BHK,Room,Full,Girls,Vavol,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17000
2271,3BHK,Room,Sharing,Family,Sector 3,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,No,Yes,Yes,16000
2272,1BHK,Room,Full,Family,Sector 2,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,14000
2273,3BHK,Room,Full,Family,Kudasan,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,No,Yes,No,33000
2274,2BHK,Tenament,Full,Any,Sector 3,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,Yes,11000
2275,2BHK,Room,Sharing,Boys,Sector 5A,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,17000
2276,1BHK,House,Sharing,Family,Raysan,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,No,Yes,No,14000
2277,3BHK,Flat,Full,Girls,Sargasan,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,33000
2278,2BHK,Flat,Sharing,Girls,Sector 5A,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,16000
2279,2BHK,Room,Sharing,Girls,Vavol,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16000
2280,2BHK,Tenament,Sharing,Any,Sector 13,Gandhinagar,,Fully,No,No,No,No,No,Yes,No,Yes,Yes,9000
2281,2BHK,Tenament,Sharing,Girls,Sector 13,Gandhinagar,,Fully,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,12000
2282,1BHK,Tenament,Full,Family,Vavol,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,10000
2283,3BHK,Room,Full,Boys,Kudasan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,29000
2284,3BHK,Room,Full,Any,Sector 13,Gandhinagar,,Semi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,15000
2285,2BHK,Room,Sharing,Girls,Kudasan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,27000
2286,1BHK,Flat,Sharing,Family,Sector 5A,Gandhinagar,,Fully,Yes,No,No,No,Yes,Yes,Yes,Yes,No,12000
2287,2BHK,House,Sharing,Family,Sector 5A,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,17000
2288,2BHK,House,Full,Girls,Vavol,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,14000
2289,2BHK,House,Full,Girls,Infocity,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,29000
2290,1BHK,Flat,Full,Girls,Sector 2,Gandhinagar,,Semi,No,No,Yes,No,Yes,Yes,Yes,Yes,No,13000
2291,3BHK,Room,Full,Any,Raysan,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,36000
2292,3BHK,Flat,Sharing,Family,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,37000
2293,1BHK,Room,Full,Boys,Sector 6,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,No,13000
2294,1BHK,Tenament,Sharing,Boys,Vavol,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11000
2295,2BHK,House,Full,Boys,Sector 6,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,No,Yes,No,17000
2296,2BHK,House,Full,Any,Vavol,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,No,Yes,Yes,12000
2297,3BHK,House,Sharing,Girls,Sector 5A,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,Yes,26000
2298,3BHK,House,Sharing,Any,Kudasan,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,No,Yes,Yes,31000
2299,1BHK,Tenament,Sharing,Girls,Sector 5A,Gandhinagar,,Basic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,10000
2300,1BHK,House,Full,Family,Sargasan,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,No,17000
2301,1BHK,Tenament,Full,Boys,Vavol,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10000
2302,2BHK,Flat,Sharing,Girls,Sector 2,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,21000
2303,1BHK,Tenament,Full,Any,Sector 6,Gandhinagar,,Semi,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,10000
2304,3BHK,Tenament,Full,Girls,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,23000
2305,2BHK,House,Sharing,Boys,Infocity,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,Yes,Yes,No,27000
2306,2BHK,Tenament,Sharing,Girls,Sector 6,Gandhinagar,,Fully,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,17000
2307,3BHK,Tenament,Full,Any,Raysan,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,32000
2308,3BHK,Tenament,Sharing,Boys,Sargasan,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,No,Yes,No,38000
2309,3BHK,House,Sharing,Any,Kudasan,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,31000
2310,3BHK,Flat,Sharing,Boys,Sargasan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,36000
2311,1BHK,Room,Sharing,Boys,Sector 5A,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,Yes,Yes,No,11000
2312,1BHK,Tenament,Sharing,Any,Vavol,Gandhinagar,,Fully,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,10000
2313,1BHK,Room,Full,Boys,Vavol,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,9000
2314,1BHK,Flat,Sharing,Girls,Raysan,Gandhinagar,,Semi,No,No,No,Yes,Yes,Yes,Yes,Yes,No,15000
2315,3BHK,Room,Full,Boys,Sector 6,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,No,Yes,No,23000
2316,2BHK,House,Full,Any,Sector 6,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,No,Yes,Yes,19000
2317,2BHK,Flat,Sharing,Girls,Infocity,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,Yes,Yes,No,32000
2318,1BHK,House,Sharing,Any,Sector 6,Gandhinagar,,Fully,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,14000
2319,2BHK,House,Full,Any,Sector 13,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11000
2320,2BHK,House,Sharing,Boys,Sargasan,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,28000
2321,2BHK,Flat,Full,Girls,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,12000
2322,2BHK,Room,Sharing,Girls,Sargasan,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25000
2323,3BHK,Room,Full,Any,Raysan,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,28000
2324,1BHK,Flat,Sharing,Family,Infocity,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,19000
2325,1BHK,Room,Full,Boys,Infocity,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,21000
2326,1BHK,Tenament,Full,Girls,Kudasan,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,18000
2327,1BHK,Flat,Sharing,Girls,Raysan,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,No,15000
2328,1BHK,Room,Sharing,Any,Infocity,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,No,Yes,No,19000
2329,2BHK,Tenament,Sharing,Family,Sector 6,Gandhinagar,,Basic,No,No,Yes,No,No,Yes,Yes,Yes,No,17000
2330,1BHK,Tenament,Sharing,Boys,Kudasan,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,17000
2331,1BHK,House,Full,Any,Sargasan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,14000
2332,3BHK,Flat,Full,Any,Kudasan,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,33000
2333,3BHK,Tenament,Sharing,Family,Sector 13,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,16000
2334,2BHK,Room,Full,Any,Sector 3,Gandhinagar,,Basic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,12000
2335,2BHK,House,Full,Any,Sargasan,Gandhinagar,,Semi,Yes,No,No,No,Yes,Yes,No,Yes,Yes,30000
2336,2BHK,Flat,Sharing,Boys,Infocity,Gandhinagar,,Fully,No,No,No,Yes,No,Yes,No,Yes,Yes,30000
2337,1BHK,Room,Sharing,Boys,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,21000
2338,2BHK,House,Full,Girls,Sector 13,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,Yes,Yes,Yes,12000
2339,3BHK,Room,Sharing,Girls,Vavol,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,19000
2340,1BHK,Flat,Full,Family,Raysan,Gandhinagar,,Basic,Yes,No,Yes,No,No,Yes,Yes,Yes,No,15000
2341,3BHK,Room,Sharing,Girls,Infocity,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,43000
2342,3BHK,Room,Full,Girls,Sector 5A,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,No,26000
2343,3BHK,Tenament,Full,Girls,Sector 13,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,13000
2344,3BHK,Room,Sharing,Girls,Kudasan,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,33000
2345,2BHK,Room,Full,Family,Sector 13,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10000
2346,1BHK,House,Sharing,Boys,Kudasan,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,16000
2347,1BHK,Flat,Full,Any,Infocity,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,19000
2348,3BHK,Flat,Full,Family,Sector 6,Gandhinagar,,Fully,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,23000
2349,2BHK,Room,Full,Girls,Infocity,Gandhinagar,,Fully,No,No,No,No,No,Yes,No,Yes,No,25000
2350,2BHK,Tenament,Sharing,Any,Sector 13,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,13000
2351,2BHK,Room,Sharing,Girls,Vavol,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,16000
2352,2BHK,House,Full,Any,Sector 2,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,No,21000
2353,3BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,No,Yes,Yes,35000
2354,1BHK,House,Sharing,Girls,Sector 3,Gandhinagar,,Semi,No,Yes,Yes,No,No,Yes,No,Yes,Yes,7000
2355,3BHK,Flat,Full,Any,Vavol,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,23000
2356,3BHK,Tenament,Full,Any,Sector 5A,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,23000
2357,3BHK,Flat,Full,Boys,Sector 6,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,29000
2358,3BHK,Room,Sharing,Girls,Sargasan,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,41000
2359,1BHK,Flat,Full,Any,Infocity,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,18000
2360,2BHK,Tenament,Sharing,Any,Sector 5A,Gandhinagar,,Basic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,19000
2361,2BHK,House,Sharing,Boys,Sargasan,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,22000
2362,3BHK,Tenament,Full,Boys,Sargasan,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,34000
2363,1BHK,House,Sharing,Any,Sector 13,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,Yes,Yes,No,7000
2364,2BHK,Flat,Sharing,Family,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,No,Yes,No,Yes,No,12000
2365,1BHK,Room,Sharing,Family,Vavol,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,No,Yes,Yes,9000
2366,3BHK,Room,Full,Family,Kudasan,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,35000
2367,1BHK,Room,Full,Girls,Infocity,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,22000
2368,3BHK,House,Full,Girls,Vavol,Gandhinagar,,Fully,Yes,No,No,Yes,No,Yes,No,Yes,No,18000
2369,1BHK,Flat,Sharing,Any,Infocity,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,18000
2370,3BHK,House,Sharing,Any,Kudasan,Gandhinagar,,Basic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33000
2371,3BHK,Flat,Sharing,Boys,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,17000
2372,2BHK,Room,Sharing,Boys,Vavol,Gandhinagar,,Fully,No,No,No,No,Yes,Yes,No,Yes,Yes,12000
2373,1BHK,Tenament,Sharing,Family,Sector 13,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,No,Yes,No,7000
2374,3BHK,Tenament,Full,Girls,Infocity,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,37000
2375,2BHK,Room,Full,Girls,Sector 13,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,11000
2376,1BHK,Flat,Sharing,Boys,Raysan,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,15000
2377,1BHK,Tenament,Sharing,Boys,Sector 13,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,No,Yes,Yes,8000
2378,3BHK,Room,Full,Girls,Sector 5A,Gandhinagar,,Semi,No,No,Yes,No,No,Yes,No,Yes,No,25000
2379,1BHK,Tenament,Sharing,Any,Sector 13,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,6000
2380,2BHK,Tenament,Full,Boys,Kudasan,Gandhinagar,,Basic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,26000
2381,1BHK,House,Sharing,Any,Sector 2,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,12000
2382,1BHK,Room,Sharing,Family,Vavol,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,Yes,Yes,No,11000
2383,1BHK,House,Full,Boys,Sector 3,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,No,9000
2384,2BHK,Tenament,Sharing,Any,Sector 2,Gandhinagar,,Fully,No,No,No,Yes,No,Yes,Yes,Yes,No,22000
2385,1BHK,Flat,Sharing,Girls,Sector 2,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,15000
2386,1BHK,Room,Full,Girls,Vavol,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,12000
2387,3BHK,Room,Full,Girls,Sector 6,Gandhinagar,,Basic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,24000
2388,3BHK,Tenament,Sharing,Family,Raysan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26000
2389,2BHK,Flat,Full,Girls,Sector 6,Gandhinagar,,Semi,No,No,Yes,Yes,Yes,Yes,No,Yes,No,16000
2390,3BHK,House,Sharing,Any,Sector 6,Gandhinagar,,Semi,No,No,No,No,No,Yes,No,Yes,No,29000
2391,2BHK,Room,Sharing,Family,Sector 13,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,10000
2392,3BHK,Tenament,Sharing,Girls,Infocity,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,No,36000
2393,1BHK,Room,Sharing,Girls,Sargasan,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,18000
2394,2BHK,Tenament,Sharing,Boys,Raysan,Gandhinagar,,Fully,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,23000
2395,1BHK,Tenament,Full,Family,Sargasan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,17000
2396,1BHK,Flat,Full,Any,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,18000
2397,3BHK,Flat,Sharing,Family,Sector 2,Gandhinagar,,Basic,Yes,No,No,No,No,Yes,No,Yes,Yes,31000
2398,3BHK,Room,Sharing,Girls,Sargasan,Gandhinagar,,Semi,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,33000
2399,3BHK,Tenament,Sharing,Boys,Sargasan,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,33000
2400,1BHK,House,Sharing,Boys,Sector 13,Gandhinagar,,Fully,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7000
2401,2BHK,House,Sharing,Boys,Sector 2,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,Yes,21000
2402,3BHK,Room,Full,Boys,Infocity,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,40000
2403,3BHK,Flat,Full,Girls,Sargasan,Gandhinagar,,Fully,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,37000
2404,2BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,24000
2405,2BHK,Flat,Sharing,Family,Sector 6,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,16000
2406,1BHK,Flat,Full,Girls,Vavol,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,No,Yes,Yes,10000
2407,1BHK,Tenament,Sharing,Any,Sector 6,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,14000
2408,2BHK,House,Sharing,Boys,Sector 6,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,No,22000
2409,3BHK,Room,Sharing,Family,Sector 13,Gandhinagar,,Semi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,17000
2410,3BHK,Tenament,Full,Family,Sector 2,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,Yes,24000
2411,3BHK,Tenament,Full,Boys,Sector 3,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,18000
2412,3BHK,House,Full,Any,Sector 3,Gandhinagar,,Fully,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,21000
2413,3BHK,Room,Sharing,Boys,Sector 3,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,Yes,Yes,Yes,17000
2414,2BHK,House,Full,Family,Kudasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,22000
2415,1BHK,Tenament,Sharing,Family,Sargasan,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,No,19000
2416,2BHK,House,Sharing,Family,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,16000
2417,3BHK,Tenament,Full,Girls,Infocity,Gandhinagar,,Fully,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,41000
2418,3BHK,House,Full,Family,Sector 5A,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,23000
2419,1BHK,House,Full,Girls,Sector 3,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,10000
2420,3BHK,Flat,Full,Family,Infocity,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,No,41000
2421,1BHK,Tenament,Full,Any,Infocity,Gandhinagar,,Semi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,21000
2422,2BHK,Room,Full,Family,Sector 6,Gandhinagar,,Semi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,18000
2423,3BHK,House,Full,Family,Raysan,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,Yes,Yes,Yes,30000
2424,3BHK,Tenament,Sharing,Any,Sargasan,Gandhinagar,,Semi,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,42000
2425,3BHK,House,Sharing,Girls,Sector 2,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,No,Yes,No,27000
2426,3BHK,Room,Sharing,Family,Vavol,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,22000
2427,1BHK,House,Full,Any,Sargasan,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,Yes,Yes,Yes,19000
2428,1BHK,Room,Full,Family,Sector 13,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,Yes,Yes,Yes,8000
2429,1BHK,Tenament,Full,Girls,Kudasan,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000
2430,2BHK,House,Sharing,Any,Vavol,Gandhinagar,,Fully,No,No,No,No,Yes,Yes,No,Yes,Yes,12000
2431,1BHK,Tenament,Sharing,Girls,Sector 6,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,11000
2432,1BHK,House,Full,Any,Vavol,Gandhinagar,,Basic,No,No,No,No,No,Yes,No,Yes,No,8000
2433,1BHK,Tenament,Sharing,Girls,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6000
2434,1BHK,Tenament,Full,Family,Sector 2,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,No,Yes,Yes,16000
2435,2BHK,Tenament,Sharing,Boys,Sector 2,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,Yes,Yes,No,18000
2436,1BHK,Flat,Full,Any,Sector 2,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,16000
2437,1BHK,Flat,Full,Boys,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,13000
2438,1BHK,House,Full,Boys,Vavol,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,Yes,11000
2439,2BHK,Tenament,Sharing,Girls,Sector 6,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,17000
2440,2BHK,House,Sharing,Family,Sargasan,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,28000
2441,1BHK,House,Full,Family,Sector 5A,Gandhinagar,,Fully,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,10000
2442,2BHK,Flat,Sharing,Family,Kudasan,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,Yes,Yes,No,22000
2443,3BHK,Flat,Sharing,Girls,Sector 13,Gandhinagar,,Semi,No,No,Yes,No,No,Yes,Yes,Yes,No,14000
2444,3BHK,Room,Sharing,Any,Sector 6,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,26000
2445,3BHK,Room,Sharing,Boys,Vavol,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,No,24000
2446,3BHK,Flat,Full,Family,Sector 3,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,19000
2447,1BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,14000
2448,1BHK,Room,Sharing,Boys,Sector 2,Gandhinagar,,Basic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,14000
2449,2BHK,House,Full,Girls,Sector 6,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,Yes,19000
2450,3BHK,House,Sharing,Boys,Sector 6,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,Yes,Yes,No,29000
2451,3BHK,Room,Sharing,Any,Sector 2,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,28000
2452,2BHK,Room,Full,Girls,Sector 2,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,No,Yes,No,22000
2453,2BHK,Tenament,Sharing,Girls,Sargasan,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,No,Yes,No,25000
